Flow ID,System,Group,User,Flow name,Department,TOR Group,TOR,Remark,Team,ผู้ประสานงาน (ตรวจรับ),Phase,New Phase,Blocked,Blocked Date,Start Date,End Date,Lead Time,ประเมินสถานะ,Doing,Assignee,Requirement,Design: วันที่เริ่มทำ,Design: วันที่ Demo ผ่าน,Design: วันที่ลูกค้า Comfirm,Design,AC,API,FE/App,Testing,UAT,UAT Start Date,UAT Done Date,Blocked Issue,Service,Dependency Level,Parent flow ID,,🔢 Delivery Time,🔢 Card Info,🔢 Card Info (Design)
001,ระบบสมาชิก,สมัครสมาชิก,ผู้ใช้งานทั่วไป,ผู้ใช้งานทั่วไป สามารถ สมัครสามัญ บุคคล ได้,ฝ่ายทะเบียนและสื่อสารองค์กร,01,01,,1,,2,2,FALSE,,1 เม.ย. ,31 พ.ค. ,53,,,,Done,,,,Confirmed,Done,Done,Done,Done,Done,,18 ส.ค. ,,,,,,120,"001 | สมัครสมาชิก

ผู้ใช้งานทั่วไป สามารถ สมัครสามัญ บุคคล ได้","001 | ระบบสมาชิก | สมัครสมาชิก

ผู้ใช้งานทั่วไป สามารถ สมัครสามัญ บุคคล ได้"
002,ระบบสมาชิก,สมัครสมาชิก,นิติบุคคล,นิติบุคคล สามารถ สมัครสามัญ นิติบุคคล ได้,ฝ่ายทะเบียนและสื่อสารองค์กร,01,01,,1,,2,2,FALSE,,1 เม.ย. ,31 พ.ค. ,53,,,,Done,,,,Confirmed,Done,Done,Done,Done,Done,,1 ส.ค. ,,,,,,106,"002 | สมัครสมาชิก

นิติบุคคล สามารถ สมัครสามัญ นิติบุคคล ได้","002 | ระบบสมาชิก | สมัครสมาชิก

นิติบุคคล สามารถ สมัครสามัญ นิติบุคคล ได้"
003,ระบบสมาชิก,สมัครสมาชิก,ผู้ใช้งานทั่วไป,ผู้ใช้งานทั่วไป สามารถสมัครสามัญ บุคคล (แบบโอนมา) ได้,ฝ่ายทะเบียนและสื่อสารองค์กร,01,01,,1,,2,2,FALSE,,1 เม.ย. ,31 พ.ค. ,53,,,,Done,,,,Confirmed,Done,Done,Done,Done,Done,,28 ส.ค. ,,,,,,129,"003 | สมัครสมาชิก

ผู้ใช้งานทั่วไป สามารถสมัครสามัญ บุคคล (แบบโอนมา) ได้","003 | ระบบสมาชิก | สมัครสมาชิก

ผู้ใช้งานทั่วไป สามารถสมัครสามัญ บุคคล (แบบโอนมา) ได้"
004,ระบบสมาชิก,สมัครสมาชิก,ผู้ใช้งานทั่วไป,ผู้ใช้งานทั่วไป สามารถ สมัครสมทบแบบ บุคคล ได้,ฝ่ายทะเบียนและสื่อสารองค์กร,01,01,,1,,2,2,FALSE,,1 เม.ย. ,31 พ.ค. ,53,,,,Done,,,,Confirmed,Done,Done,Done,Done,Done,,28 ส.ค. ,,,,,,129,"004 | สมัครสมาชิก

ผู้ใช้งานทั่วไป สามารถ สมัครสมทบแบบ บุคคล ได้","004 | ระบบสมาชิก | สมัครสมาชิก

ผู้ใช้งานทั่วไป สามารถ สมัครสมทบแบบ บุคคล ได้"
005,ระบบสมาชิก,สมัครสมาชิก,นิติบุคคล,นิติบุคคล สามารถ สมัครสมทบแบบ นิติบุคคล ได้,ฝ่ายทะเบียนและสื่อสารองค์กร,01,01,,1,,2,2,FALSE,,1 เม.ย. ,31 พ.ค. ,53,,,,Done,,,,Confirmed,Done,Done,Done,Done,Done,,1 ส.ค. ,,,,,,106,"005 | สมัครสมาชิก

นิติบุคคล สามารถ สมัครสมทบแบบ นิติบุคคล ได้","005 | ระบบสมาชิก | สมัครสมาชิก

นิติบุคคล สามารถ สมัครสมทบแบบ นิติบุคคล ได้"
0051,ระบบเงินกู้,,สมาชิกสหกรณ์ทุกประเภท,สมาชิกสหกรณ์ทุกประเภท สามารถดูข้อมูลรายละเอียดเงินกู้ได้,ฝ่ายสินเชื่อ 1,02,02.04,,1,,2,4,FALSE,,,,,,,,Done,,,,,,,,,,,,,,,,,,"0051

สมาชิกสหกรณ์ทุกประเภท สามารถดูข้อมูลรายละเอียดเงินกู้ได้","0051 | ระบบเงินกู้

สมาชิกสหกรณ์ทุกประเภท สามารถดูข้อมูลรายละเอียดเงินกู้ได้"
006,ระบบสมาชิก,สมัครสมาชิก,ผู้ใช้งานทั่วไป,ผู้ใช้งานทั่วไป สามารถ สมัครสมาชิกคู่ค้า บุคคล ได้,ฝ่ายทะเบียนและสื่อสารองค์กร,01,01,,1,,2,2,FALSE,,1 เม.ย. ,31 พ.ค. ,53,,,,Done,,,,Confirmed,Done,Done,Done,Done,Done,,20 ส.ค. ,,,,,,122,"006 | สมัครสมาชิก

ผู้ใช้งานทั่วไป สามารถ สมัครสมาชิกคู่ค้า บุคคล ได้","006 | ระบบสมาชิก | สมัครสมาชิก

ผู้ใช้งานทั่วไป สามารถ สมัครสมาชิกคู่ค้า บุคคล ได้"
007,ระบบสมาชิก,สมัครสมาชิก,นิติบุคคล,นิติบุคคล สามารถ สมัครสมาชิกคู่ค้า นิติบุคคล ได้,ฝ่ายทะเบียนและสื่อสารองค์กร,01,01,,1,,2,2,FALSE,,1 เม.ย. ,31 พ.ค. ,53,,,,Done,,,,Confirmed,Done,Done,Done,Done,Done,,20 ส.ค. ,,,,,,122,"007 | สมัครสมาชิก

นิติบุคคล สามารถ สมัครสมาชิกคู่ค้า นิติบุคคล ได้","007 | ระบบสมาชิก | สมัครสมาชิก

นิติบุคคล สามารถ สมัครสมาชิกคู่ค้า นิติบุคคล ได้"
008,ระบบสมาชิก,สมัครสมาชิก,เจ้าหน้าที่สหกรณ์,เจ้าหน้าที่สหกรณ์ สามารถ สมัครสมาชิกสำหรับบุคลากร (ดึงข้อมูลอัตโนมัติ) ได้,ฝ่ายทะเบียนและสื่อสารองค์กร,01,01,ต้องรอ HRM เพื่อดึงข้อมูล,1,,2,5,FALSE,,,,,เสร็จแน่นอน,,,Done,,,,Confirmed,,,,,,,,,,,,,,"008 | สมัครสมาชิก

เจ้าหน้าที่สหกรณ์ สามารถ สมัครสมาชิกสำหรับบุคลากร (ดึงข้อมูลอัตโนมัติ) ได้","008 | ระบบสมาชิก | สมัครสมาชิก

เจ้าหน้าที่สหกรณ์ สามารถ สมัครสมาชิกสำหรับบุคลากร (ดึงข้อมูลอัตโนมัติ) ได้"
009,ระบบสมาชิก,เข้าสู่ระบบ,เจ้าหน้าที่สหกรณ์,เจ้าหน้าที่สหกรณ์ สามารถเข้าสู่ระบบโดยชื่อผู้ใช้และรหัสผ่าน ได้,ฝ่ายทะเบียนและสื่อสารองค์กร,01,01,,1,พี่ไผ่,2,2,FALSE,,1 เม.ย. ,31 พ.ค. ,53,,,,Done,,,,Confirmed,Done,Done,Done,Done,Done,,3 ก.ค. ,,,,,,81,"009 | เข้าสู่ระบบ

เจ้าหน้าที่สหกรณ์ สามารถเข้าสู่ระบบโดยชื่อผู้ใช้และรหัสผ่าน ได้","009 | ระบบสมาชิก | เข้าสู่ระบบ

เจ้าหน้าที่สหกรณ์ สามารถเข้าสู่ระบบโดยชื่อผู้ใช้และรหัสผ่าน ได้"
